,Balance,Qual_miles,cc1_miles,cc2_miles,cc3_miles,Bonus_miles,Bonus_trans,Flight_miles_12mo,Flight_trans_12,Days_since_enroll,Cluster_number,Kmean_Clusters
129,142175,0,4,1,1,37461,22,0,0,6732,1,0
130,17469,0,1,1,1,0,0,0,0,6730,0,1
131,19823,0,1,1,1,1095,3,335,1,6730,0,1
132,145074,0,1,1,1,8000,4,0,0,6746,0,1
133,101101,0,1,1,1,10850,11,1850,6,6725,0,1
134,125948,0,3,1,1,15155,15,0,0,6761,1,0
135,259484,1776,1,1,1,19172,26,7172,23,6723,2,0
136,129298,0,4,1,1,29099,15,0,0,6722,1,0
137,103302,0,4,1,1,53552,22,700,3,6718,1,0
138,160447,0,1,1,1,8578,25,0,0,6716,0,1
139,15472,0,1,1,1,3500,14,0,0,6715,0,1
140,39628,0,1,1,1,0,0,0,0,6711,0,1
141,6112,0,1,1,1,0,0,0,0,6709,0,1
142,31769,0,1,1,1,450,2,450,2,6707,0,1
143,126787,0,4,1,1,35021,17,0,0,6701,1,0
144,41547,0,3,1,1,16857,17,0,0,6697,1,0
145,100640,0,1,1,1,7600,8,1600,5,6708,0,1
146,18707,0,1,1,1,100,1,0,0,6693,0,1
147,50593,0,5,1,1,58208,17,1500,2,6689,1,0
148,84631,0,3,1,1,20415,17,0,0,6736,1,0
149,24868,0,1,1,1,205,5,0,0,6689,0,1
150,77097,0,4,1,1,42403,22,1718,4,6683,1,0
151,930410,0,5,1,1,211284,18,2250,6,7640,1,0
152,298121,0,5,1,1,60808,20,500,1,7640,1,0
153,87474,0,1,1,1,4581,15,0,0,7634,0,1
154,48707,0,4,1,1,37655,14,0,0,7631,1,0
155,220081,0,4,1,1,52574,21,500,1,7626,1,0
156,212976,0,3,1,1,19926,12,0,0,7624,1,0
157,44182,0,3,1,1,12313,12,0,0,7619,1,1
158,228829,0,5,1,1,59852,21,0,0,7612,1,0
159,46823,0,1,1,1,5860,12,0,0,7613,0,1
160,69110,0,3,1,1,18500,19,0,0,7598,1,0
161,120700,0,5,1,1,55323,17,1500,1,7598,1,0
162,152945,0,1,1,1,18604,6,3604,2,7598,0,1
163,10302,0,4,1,1,30298,19,0,0,7591,1,0
164,80331,0,3,1,1,15489,18,0,0,7634,1,0
165,69882,0,1,1,1,180,6,0,0,7582,0,1
166,95658,0,1,1,1,5269,18,0,0,7584,0,1
167,402874,0,5,1,1,74800,15,0,0,7582,1,0
168,370941,0,4,1,1,44615,16,0,0,7577,1,0
169,21694,0,4,1,1,45230,20,700,2,7575,1,0
170,71767,0,5,1,1,67335,13,0,0,7570,1,0
171,35820,0,1,1,1,0,0,0,0,7575,0,1
172,352508,0,3,1,1,23740,6,1000,2,7563,1,0
173,149285,0,1,1,1,15656,13,3250,6,7561,0,0
174,120941,0,4,1,1,42301,21,0,0,7588,1,0
175,451673,0,4,1,1,43533,19,900,4,7575,1,0
176,106961,0,1,1,1,7357,19,200,2,7572,0,1
177,28086,1745,2,1,1,7368,12,0,0,7549,0,1
178,60230,0,1,1,1,500,1,0,0,7544,0,1
179,6663,0,1,1,1,1125,7,750,4,7575,0,1
180,48145,0,1,1,1,10735,27,0,0,7540,0,1
181,127807,0,3,1,1,17086,16,1500,3,7537,1,0
182,32948,0,1,1,1,50,1,50,1,7569,0,1
183,8933,0,2,1,1,8860,14,0,0,7533,1,1
184,49885,0,3,1,1,23640,17,0,0,7533,1,0
185,89999,0,3,1,1,11694,13,0,0,7530,1,1
186,707079,0,4,1,1,57173,40,3450,12,7523,2,0
187,211595,0,1,1,1,3250,8,0,0,7521,0,1
188,410795,0,5,1,1,73679,31,0,0,7514,1,0
189,72173,0,1,1,1,2954,13,232,1,7509,0,1
190,123516,0,5,1,1,240544,31,500,2,7507,1,0
191,143080,733,4,1,1,44373,38,3928,17,7575,2,0
192,386061,0,5,1,1,107813,24,0,0,7500,1,0
193,52738,2398,1,1,1,0,0,0,0,7498,0,1
194,24523,0,1,1,1,100,1,0,0,7493,0,1
195,134601,0,1,1,1,0,0,0,0,7493,0,1
196,32742,0,5,1,1,61857,26,0,0,7488,1,0
197,108341,0,3,1,1,19670,21,0,0,7488,1,0
198,8669,0,1,3,1,11397,16,0,0,7486,0,1
199,118940,0,4,1,1,36001,17,150,1,7484,1,0
200,41385,0,4,1,1,26948,14,0,0,7481,1,0
201,28621,0,2,1,1,13878,20,1400,10,7479,0,0
202,16230,0,1,1,1,486,2,0,0,7477,0,1
203,152881,0,5,1,1,79687,18,500,1,7474,1,0
204,37348,0,1,1,1,0,0,0,0,7472,0,1
205,51468,0,1,1,1,2278,9,0,0,7460,0,1
206,95989,0,5,1,1,92159,30,1329,4,7518,1,0
207,23184,1250,1,1,1,3694,12,1150,3,7467,0,1
208,27381,0,3,1,1,18009,18,0,0,7524,1,0
209,6854,0,1,1,1,0,0,0,0,7467,0,1
210,201346,0,5,1,1,99612,34,600,4,7463,1,0
211,31588,0,1,1,1,2947,8,0,0,7463,0,1
212,204582,0,1,1,1,4671,14,0,0,7498,0,1
213,8298,0,3,1,1,20087,15,0,0,7498,1,1
214,10097,0,1,1,1,2700,1,2700,1,7498,0,1
215,114356,0,4,1,1,27308,14,0,0,7456,1,0
216,1344,0,1,1,1,1134,9,0,0,7498,0,1
217,59797,0,1,1,1,7069,4,0,0,7444,0,1
218,189053,0,3,1,1,24156,22,0,0,7439,1,0
219,143481,0,4,1,1,45891,15,0,0,7437,1,0
220,1302051,2706,5,1,1,90653,32,3050,7,7467,1,0
221,229744,0,5,1,1,68754,35,550,2,7467,1,0
222,75039,0,1,1,1,2750,10,250,1,7435,0,1
223,20203,0,1,1,1,750,6,0,0,7467,0,1
224,193976,0,3,1,1,10849,14,0,0,7416,1,0
225,98224,0,2,1,1,5570,11,0,0,7467,0,1
226,117329,0,1,2,1,6448,11,0,0,7416,0,1
227,119239,0,4,1,1,36362,15,250,1,7467,1,0
228,53715,0,2,1,1,7164,15,300,2,7416,1,1
229,153747,0,5,1,1,58689,15,0,0,7409,1,0
230,133309,0,3,1,1,23987,13,0,0,7415,1,0
231,81380,0,5,1,1,56524,22,0,0,7404,1,0
232,22074,0,1,1,1,6039,15,0,0,7404,0,1
233,24051,0,2,1,1,8764,13,0,0,7395,1,1
234,11449,0,2,1,1,9057,13,0,0,7397,1,1
235,182317,0,2,1,1,19489,17,273,1,7397,0,0
236,46184,0,1,1,1,3125,12,500,1,7388,0,1
237,285116,0,1,1,1,8471,18,500,1,7406,0,0
238,30962,0,5,1,1,97683,37,6400,18,7360,2,0
239,15525,0,1,1,1,3853,6,0,0,7406,0,1
240,163530,0,5,1,1,88987,25,0,0,7406,1,0
241,2075,0,2,1,1,5002,14,0,0,7374,1,1
242,227881,0,4,1,1,41186,13,0,0,7369,1,0
243,118934,0,5,1,1,66222,37,2250,17,7354,2,0
244,468175,0,5,1,1,141615,22,0,0,7348,1,0
245,12526,0,4,1,1,56076,19,3850,11,7375,2,0
246,176090,0,1,1,1,5300,9,2200,6,7344,0,1
247,15221,0,1,1,1,4425,9,0,0,7361,0,1
248,92875,0,5,1,1,60990,14,0,0,7344,1,0
249,88702,0,2,1,1,9620,13,50,1,7406,0,1
250,62882,0,1,1,1,1925,8,0,0,7375,0,1
251,30015,0,1,1,1,5875,32,0,0,7341,0,1
252,87293,0,3,1,1,21584,17,1050,2,7406,1,0
253,45225,0,3,1,1,14711,15,0,0,7339,1,1
254,96098,0,1,1,1,12500,4,0,0,7339,0,1
255,236274,0,5,1,1,61515,12,0,0,7375,1,0
256,423540,0,1,1,1,8534,14,2100,9,7375,0,0
257,25279,0,2,1,1,14938,26,0,0,7327,1,0
258,198137,0,1,1,1,6303,6,500,1,7323,0,1
259,402312,0,5,1,1,77122,18,250,3,7375,1,0
260,149733,0,1,1,1,605,3,500,1,7323,0,1
261,70730,0,1,1,1,1319,12,0,0,7316,0,1
262,164613,0,2,1,1,11095,13,0,0,7375,0,1
263,47557,0,2,1,1,10267,18,200,3,7345,1,1
264,35065,0,1,1,1,5400,5,1400,3,7311,0,1
265,105769,0,3,1,1,23097,16,0,0,7345,1,0
266,35900,0,1,1,1,0,0,0,0,7304,0,1
267,43088,0,1,1,1,4000,1,0,0,7345,0,1
268,58703,0,4,1,1,46473,34,950,4,7296,1,0
269,70354,0,5,1,1,120907,22,0,0,7290,1,0
270,145726,0,3,1,1,19019,15,0,0,7292,1,0
271,121639,0,5,1,1,67286,7,0,0,7288,1,0
272,70676,0,5,1,1,74993,15,0,0,7288,1,0
273,18263,0,1,1,1,2100,4,1000,2,7285,0,1
274,51250,0,1,1,1,0,0,0,0,7283,0,1
275,1704838,0,1,1,1,17108,32,4823,23,7283,1,0
276,12895,0,1,1,1,0,0,0,0,7277,0,1
277,120073,0,3,1,1,12423,29,0,0,7276,1,0
278,2003,0,1,1,1,980,2,0,0,7274,0,1
279,22652,0,5,1,1,57642,14,0,0,7271,1,0
280,168515,0,1,1,1,4600,4,0,0,7269,0,1
281,44873,0,4,1,1,38740,18,850,2,7267,1,0
282,190542,1745,1,1,1,8487,9,0,0,7267,0,1
283,156230,0,1,1,1,5300,8,1300,5,7260,0,1
284,79211,0,4,1,1,36776,14,0,0,7260,1,0
285,98006,0,4,1,1,46349,20,2309,3,7332,1,0
286,33982,0,5,1,1,68320,17,0,0,7255,1,0
287,62998,0,2,1,1,11326,24,0,0,7253,1,1
288,137908,0,5,1,1,57713,19,0,0,7250,1,0
289,45586,0,4,1,1,37459,15,0,0,7246,1,0
290,568174,0,5,1,1,67121,16,1000,2,7243,1,0
291,145993,0,5,1,1,95082,17,500,1,7229,1,0
292,294881,0,5,1,1,84800,20,0,0,7279,1,0
293,12195,0,1,1,1,3875,17,0,0,7229,0,1
294,16622,0,1,1,1,0,0,0,0,7229,0,1
295,141813,0,4,1,1,39743,14,0,0,7254,1,0
296,58139,500,4,1,1,38408,16,150,1,7227,1,0
297,238868,0,3,1,1,20521,16,0,0,7220,1,0
298,149286,0,4,1,1,42141,30,2400,13,7222,2,0
299,35945,0,1,1,1,0,0,0,0,7220,0,1
300,28218,0,1,1,1,750,4,750,4,7232,0,1
301,7061,0,1,1,1,7100,12,0,0,7218,0,1
302,217846,0,4,1,1,49198,20,0,0,7215,1,0
303,364387,0,4,1,1,28200,27,0,0,7213,1,0
304,125465,0,3,1,1,14750,9,0,0,7206,1,1
305,94222,0,4,1,1,52081,24,0,0,7201,1,0
306,123370,0,1,1,1,7478,16,0,0,7197,0,1
307,383030,2998,1,1,1,8001,25,3226,15,7326,0,0
308,112969,0,2,1,1,7572,7,0,0,7192,0,1
309,46430,0,1,1,1,2100,4,500,1,7194,0,1
310,179433,0,4,1,1,30476,15,0,0,7187,1,0
311,20746,0,4,1,1,37534,17,0,0,7185,1,0
312,61455,0,4,1,1,28765,17,0,0,7183,1,0
313,714717,0,5,1,1,119162,20,1750,4,7183,1,0
314,179559,0,3,1,1,17819,12,1000,2,7173,1,0
315,119977,2556,1,1,1,9275,16,1400,4,7226,0,1
316,16928,0,1,1,1,1000,1,0,0,7173,0,1
317,65316,0,1,1,1,3917,10,0,0,7254,0,1
318,766419,0,1,1,1,11398,3,398,1,7162,1,0
319,52060,0,1,1,1,6500,3,0,0,7162,0,1
320,84700,0,3,1,1,13544,17,0,0,7162,1,0
321,205523,0,3,1,1,32404,20,1000,2,7159,1,0
322,20457,0,4,1,1,51399,16,0,0,7193,1,0
323,278727,0,1,1,1,21666,19,9166,16,7155,2,0
324,50325,0,3,1,1,11930,14,0,0,7155,1,1
325,455228,0,1,1,1,258,2,258,2,7141,0,1
326,73849,0,2,1,1,11793,21,0,0,7250,1,1
327,388455,0,5,1,1,114329,26,6078,8,7164,2,0
328,138999,0,5,1,1,63738,29,600,4,7153,1,0
329,65573,0,1,1,1,3875,23,0,0,7130,0,1
330,172288,0,5,1,1,66879,10,0,0,7130,1,0
331,47958,0,1,1,1,0,0,0,0,7130,0,1
332,133002,0,3,1,1,15672,21,150,1,7117,1,0
333,42363,0,1,1,1,0,0,0,0,7120,0,1
334,133370,0,4,1,1,44299,18,0,0,7101,1,0
335,278457,6727,4,1,1,57313,27,1000,2,7101,0,0
336,105166,1374,4,1,1,37663,22,0,0,7120,0,0
337,34956,0,1,1,1,0,0,0,0,7172,0,1
338,46963,0,1,1,1,1500,5,0,0,7117,0,1
339,55788,0,3,1,1,24831,12,0,0,7314,1,0
340,174910,0,4,1,1,63960,20,200,1,7110,1,0
341,13812,0,2,1,1,15149,39,0,0,7110,0,0
342,38718,0,1,1,1,0,0,0,0,7314,0,1
343,112501,0,1,1,2,19140,11,0,0,7101,1,1
344,54005,0,1,1,1,1500,5,0,0,7099,0,1
345,66863,0,4,1,1,36532,9,0,0,7099,1,0
346,93045,0,3,1,1,17636,15,0,0,7092,1,0
347,197328,0,5,1,1,60447,12,0,0,7092,1,0
348,151301,0,4,1,1,37772,14,0,0,7092,1,0
349,87938,0,1,1,1,11268,2,0,0,7085,0,1
350,15283,0,1,1,1,1250,3,0,0,7132,0,1
351,105423,0,3,1,1,20802,14,0,0,7078,1,0
352,312512,0,1,1,1,100,1,100,1,7078,0,1
353,13680,0,1,1,1,0,0,0,0,7073,0,1
354,41279,0,3,1,1,14462,20,1650,6,7064,0,0
355,25313,0,2,1,1,7491,13,0,0,7064,1,1
356,148691,0,1,1,1,3000,3,1000,2,7064,0,1
357,224081,0,4,1,1,40108,15,150,2,7059,1,0
358,51088,0,1,1,1,0,0,0,0,7057,0,1
359,95305,0,1,1,1,3189,13,0,0,7054,0,1
360,22080,0,1,1,1,12200,47,1950,9,7050,2,0
361,11660,0,1,1,1,140,1,0,0,7050,0,1
362,222227,0,4,1,1,38127,14,500,1,7047,1,0
363,16200,0,1,1,1,160,1,0,0,7043,0,1
364,38227,0,2,1,1,8612,13,0,0,7036,1,1
365,80214,0,1,1,1,500,1,500,1,7029,0,1
366,53985,0,1,1,1,1000,1,0,0,7029,0,1
367,14414,0,1,1,1,0,0,0,0,7024,0,1
368,44457,0,1,1,1,225,3,0,0,7026,0,1
369,161813,0,5,1,1,126941,20,0,0,7026,1,0
370,138020,0,1,1,1,6568,15,0,0,7024,0,1
371,107707,0,3,1,1,19407,25,2211,12,7024,2,0
372,95656,0,5,1,1,62666,27,0,0,7019,1,0
373,149678,0,1,1,1,0,0,0,0,7022,0,1
374,15113,0,2,1,1,10574,19,0,0,7017,1,1
375,231,0,1,1,1,29900,24,5300,15,7015,2,0
376,22380,0,1,1,1,300,2,200,1,7010,0,1
377,146263,0,3,1,1,20853,21,350,1,7001,1,0
378,24598,0,1,1,1,0,0,0,0,7040,0,1
379,76150,0,4,1,1,36907,17,0,0,6998,1,0
380,377252,0,5,1,1,230629,30,6393,13,6996,1,0
381,167670,0,1,3,1,15907,13,0,0,6994,0,1
382,86853,0,4,1,1,42293,21,500,1,6980,1,0
383,479989,0,4,1,1,66516,26,1600,6,6980,1,0
384,28193,0,5,1,4,103456,32,0,0,6980,1,0
385,67086,0,3,1,1,18157,16,0,0,6974,1,0
386,35969,0,2,1,1,11665,21,0,0,6977,1,1
387,53790,0,4,1,1,28717,19,0,0,8296,1,0
388,198859,0,3,1,1,17855,14,500,1,8296,1,0
389,91939,0,1,1,1,1244,8,0,0,8296,0,1
390,88449,0,2,1,1,11402,18,1450,5,8296,0,0
391,54842,0,3,1,1,20792,15,0,0,8296,1,0
392,11189,0,1,2,1,9044,20,0,0,8296,0,1
393,16999,0,1,1,1,140,1,0,0,8296,0,1
394,114713,0,1,1,1,7142,18,0,0,8296,0,1
395,1612,0,1,1,1,955,9,0,0,8296,0,1
396,97763,0,1,1,1,2000,9,0,0,8296,0,1
397,15129,0,1,1,1,0,0,0,0,8296,0,1
398,15669,0,1,1,1,1205,4,0,0,8296,0,1
399,26720,0,1,1,1,913,3,0,0,8296,0,1
400,205292,0,2,1,1,5471,13,0,0,8296,0,1
401,56635,0,1,1,1,1024,8,359,2,8296,0,1
402,127297,0,2,1,1,8510,12,0,0,8296,0,1
403,8927,0,1,1,1,0,0,0,0,8296,0,1
404,507506,1952,5,1,1,102279,32,4485,13,8296,2,0
405,145723,0,5,1,1,59858,16,0,0,8296,1,0
406,6458,0,1,1,1,0,0,0,0,8296,0,1
407,267640,0,1,1,1,6000,3,0,0,8296,0,1
408,5581,0,1,1,1,0,0,0,0,8296,0,1
409,10732,0,1,1,1,1296,6,0,0,8296,0,1
410,620498,0,5,1,1,25395,53,1750,14,8296,2,0
411,68963,0,4,1,1,37723,15,0,0,8296,1,0
412,109640,0,4,1,1,66983,38,5500,17,8296,2,0
413,225802,0,5,1,1,74340,16,200,2,8296,1,0
414,58452,0,1,1,1,0,0,0,0,8296,0,1
415,109087,0,2,1,1,10462,16,0,0,8296,0,1
416,68286,0,3,1,1,22831,13,0,0,8296,1,0
417,68464,0,1,1,1,240,3,0,0,8296,0,1
418,131960,2000,3,1,1,16081,8,0,0,8296,0,0
419,199956,1178,1,1,1,0,0,0,0,8296,0,1
420,529886,7210,1,1,1,23866,26,7741,15,8296,0,0
421,23529,0,1,1,1,500,1,0,0,8296,0,1
422,190295,0,4,1,1,3501,15,0,0,8296,1,0
423,21083,0,5,1,1,129330,16,1000,2,8296,1,0
424,117860,0,5,1,1,62758,15,0,0,8296,1,0
425,118844,0,4,1,1,28731,17,400,2,8289,1,0
426,60493,0,1,1,1,9000,1,0,0,8289,0,1
427,491987,0,5,1,1,68007,23,700,2,8289,1,0
428,87692,0,1,1,1,2310,6,500,1,8289,0,1
429,78028,0,4,1,1,36269,24,0,0,8289,1,0
430,251286,0,1,1,1,0,0,0,0,8289,0,1
431,17575,0,1,1,1,0,0,0,0,8289,0,1
432,50431,0,1,1,1,1000,1,0,0,8289,0,1
433,153597,0,5,1,1,56567,18,0,0,8289,1,0
434,74579,0,1,1,1,4600,11,600,8,8289,0,1
435,2494,0,1,1,1,0,0,0,0,8289,0,1
436,96031,0,4,1,1,46588,21,0,0,8289,1,0
437,353678,0,4,1,1,141230,28,1450,5,8289,1,0
438,50052,0,4,1,1,49383,13,0,0,8289,1,0
439,13381,0,1,1,1,1000,8,0,0,8289,0,1
440,25123,0,1,1,1,2030,6,0,0,8289,0,1
441,132555,0,3,1,1,24775,31,350,1,8289,1,0
442,14528,0,1,1,1,6000,7,3000,6,8289,0,1
443,24038,0,2,1,1,6290,14,0,0,8289,1,1
444,192104,0,3,1,1,39010,53,1750,8,8289,0,0
445,106773,0,1,1,1,12900,10,1400,8,8289,0,1
446,229397,0,3,1,1,22873,13,0,0,8289,1,0
447,14732,0,1,1,1,100,1,0,0,8289,0,1
448,383129,0,3,1,1,23608,16,500,1,8289,1,0
449,11431,0,1,1,1,1759,4,759,3,8289,0,1
450,175461,0,4,1,1,40997,14,0,0,8289,1,0
451,52953,0,1,1,1,500,1,0,0,8289,0,1
452,182291,0,3,1,1,24155,22,0,0,8289,1,0
453,198317,0,5,1,1,61714,16,0,0,8289,1,0
454,49053,0,1,1,1,6498,18,950,5,8289,0,1
455,22772,0,1,1,1,0,0,0,0,8289,0,1
456,34170,0,3,1,1,15476,20,150,1,8289,1,0
457,158483,0,2,1,1,9018,11,0,0,8289,0,1
458,43285,0,4,1,1,28613,14,0,0,8252,1,0
459,52980,0,3,1,1,17078,14,0,0,8237,1,0
460,74342,0,1,1,1,4389,12,0,0,8228,0,1
461,139849,0,3,1,1,19946,15,0,0,8228,1,0
462,26080,0,2,1,1,9872,13,0,0,8228,1,1
463,29469,0,1,1,1,2522,4,0,0,8228,0,1
464,189252,0,1,1,1,2991,15,0,0,8228,0,1
465,382546,0,5,1,1,136619,34,3000,6,8228,1,0
466,1113394,2015,5,1,1,60883,26,2600,9,8228,1,0
467,459681,0,5,1,1,95531,17,0,0,8228,1,0
468,83590,0,1,1,1,3708,22,0,0,8228,0,1
469,82528,0,1,1,1,2100,5,600,4,8228,0,1
470,5600,0,1,1,1,125,1,0,0,8228,0,1
471,743745,2066,1,1,1,4100,20,2500,18,8228,1,0
472,43954,0,5,1,1,63463,13,250,1,8228,1,0
473,52005,0,3,1,1,11870,15,100,1,8228,1,0
474,45494,0,1,1,1,5021,16,600,2,8228,0,1
